gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.10454394396172052,0.02321862676056338,0.08132531720115714,0.010065034978880737,0.009523401740208378,0.0006311739098446784,0.06627609829582469
F,"[0.05,0.10)",172,0.11634531301206841,0.0758656976744186,0.04047961533764981,0.005131306061535632,0.004840744531852891,0.000750378396031494,0.15501301320362632
F,"[0.10,0.15)",156,0.1331369586017574,0.12378988461538462,0.009347073986372773,0.004098907628426975,0.004088652321645987,0.0008271153336219996,0.20229534539856014
F,"[0.15,0.20)",96,0.14946519596425933,0.17173326041666667,-0.022268064452407338,0.00425333867018546,0.004286244494782992,0.0006964084271482324,0.162475198975669
F,"[0.20,0.30)",108,0.17289105194274765,0.24083294444444442,-0.06794189250169677,0.007926477926201944,0.008236955276736495,0.0020129149533925543,0.24437609356428083
F,"[0.30,0.50)",53,0.20503653193202923,0.3543146226415095,-0.14927809070948025,0.025835846316906087,0.02674037294851866,0.004534211298764987,0.16956425056203897
M,"[0.00,0.05)",828,0.1109494442652318,0.018468322463768116,0.09248112180146369,0.01335140946886701,0.012483435683539297,0.004660442252110218,0.3733300967982311
M,"[0.05,0.10)",199,0.11463313832602172,0.0708087688442211,0.043824369481800615,0.006816235235815477,0.006748725625120047,0.0012173633215172932,0.1803841775676928
M,"[0.10,0.15)",111,0.1388252666250985,0.12103036036036036,0.017794906264738147,0.006241482372646061,0.006161177255967172,0.0009188632213040993,0.1491376052221464
M,"[0.15,0.20)",73,0.14714808122557807,0.1728620821917808,-0.025714000966202744,0.006678838471157434,0.006582941067876301,0.0008624637625367917,0.13101496028051607
M,"[0.20,0.30)",46,0.19170465185343732,0.24472415217391302,-0.0530195003204757,0.00934821100014191,0.009311530443638761,0.0010366508654027847,0.11132980466288227
M,"[0.30,0.50)",16,0.18775954890710084,0.36018787500000005,-0.1724283260928992,0.03247796484526008,0.033717758776635375,0.0018478463198381406,0.05480335546853133
