gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.1040936000937636,0.02321862676056338,0.08087497333320022,0.009413150709491022,0.008659069606891308,0.0005738893484167164,0.06627609829582469
F,"[0.05,0.10)",172,0.11505403214894816,0.0758656976744186,0.03918833447452956,0.004201931029938681,0.004011830605145775,0.000621885950566174,0.15501301320362632
F,"[0.10,0.15)",156,0.13166873270111942,0.12378988461538462,0.007878848085734802,0.0033679095789978784,0.003361470383158574,0.000680009812208094,0.20229534539856014
F,"[0.15,0.20)",96,0.14849735727260166,0.17173326041666667,-0.023235903144065012,0.0037641729691895074,0.003810594757765839,0.0006191271414836459,0.162475198975669
F,"[0.20,0.30)",108,0.16693706408663236,0.24083294444444442,-0.07389588035781205,0.007650240056745501,0.007977049158054575,0.0019494001114156124,0.24437609356428083
F,"[0.30,0.50)",53,0.19479437016687354,0.3543146226415095,-0.15952025247463594,0.02728810912843433,0.02819313521037444,0.004780547842941375,0.16956425056203897
M,"[0.00,0.05)",828,0.10817919844884304,0.018468322463768116,0.08971087598507492,0.011711509495060184,0.01088266509798462,0.00406282641445333,0.3733300967982311
M,"[0.05,0.10)",199,0.1110940625040865,0.0708087688442211,0.0402852936598654,0.004845358794438679,0.004739183492501873,0.0008548737166373362,0.1803841775676928
M,"[0.10,0.15)",111,0.13053310989795225,0.12103036036036036,0.009502749537591892,0.0034328346107709022,0.003404194928417271,0.0005076934793335279,0.1491376052221464
M,"[0.15,0.20)",73,0.1399128427948762,0.1728620821917808,-0.03294923939690461,0.005121100402389912,0.005109793921108084,0.0006694594476155982,0.13101496028051607
M,"[0.20,0.30)",46,0.16800527110865887,0.24472415217391302,-0.07671888106525415,0.008567550069518915,0.008582636307862476,0.0009555032236468905,0.11132980466288227
M,"[0.30,0.50)",16,0.18787745219763313,0.36018787500000005,-0.1723104228023669,0.03239087916550913,0.03364614750749965,0.0018439217820001427,0.05480335546853133
