gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.038177286753509614,0.02321862676056338,0.014958659992946235,0.0006759900273805164,0.0006823824996564431,4.522564962258098e-05,0.06627609829582469
F,"[0.05,0.10)",172,0.07901923755876888,0.0758656976744186,0.0031535398843502843,0.00040870852489892926,0.0004179712310491846,6.47909799573632e-05,0.15501301320362632
F,"[0.10,0.15)",156,0.12542489839669982,0.12378988461538462,0.0016350137813151977,0.00040835040066808587,0.00040672143028509794,8.227785222052028e-05,0.20229534539856014
F,"[0.15,0.20)",96,0.16876124722572663,0.17173326041666667,-0.002972013190940037,0.00041159908995113873,0.00041214624501128254,6.696354316528296e-05,0.162475198975669
F,"[0.20,0.30)",108,0.23382856365707186,0.24083294444444442,-0.0070043807873725605,0.0006124236149724475,0.0006223396069663606,0.0001520849220207691,0.24437609356428083
F,"[0.30,0.50)",53,0.3429510874568291,0.3543146226415095,-0.011363535184680362,0.0006552067370059635,0.0006696969358727496,0.00011355665903495667,0.16956425056203897
M,"[0.00,0.05)",828,0.032478291552023385,0.018468322463768116,0.014009969088255268,0.0006144798283961433,0.0006110445070931922,0.00022812130498112886,0.3733300967982311
M,"[0.05,0.10)",199,0.0791788935080994,0.0708087688442211,0.008370124663878292,0.0008706119019025022,0.0009221628620400745,0.0001663435894525686,0.1803841775676928
M,"[0.10,0.15)",111,0.12711196399486813,0.12103036036036036,0.006081603634507771,0.0008280461358204859,0.0008498889107250945,0.00012675039685039916,0.1491376052221464
M,"[0.15,0.20)",73,0.1658653088220178,0.1728620821917808,-0.00699677336976301,0.0007125574296182364,0.0007026313265935478,9.205521534549999e-05,0.13101496028051607
M,"[0.20,0.30)",46,0.24778769003308337,0.24472415217391302,0.003063537859170351,0.003430713830005873,0.0033260234244378364,0.00037028553814683513,0.11132980466288227
M,"[0.30,0.50)",16,0.34605137445032597,0.36018787500000005,-0.01413650054967408,0.0008875766949982179,0.0008597101481264783,4.711500084767911e-05,0.05480335546853133
