gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.07624280213791938,0.02321862676056338,0.053024175377356,0.004078286382340976,0.004215506369595833,0.0002793873145180085,0.06627609829582469
F,"[0.05,0.10)",172,0.0983268543316833,0.0758656976744186,0.022461156657264697,0.0016727593881323065,0.0015658450611894716,0.0002427263611449966,0.15501301320362632
F,"[0.10,0.15)",156,0.11739416232237974,0.12378988461538462,-0.006395722293004877,0.0009315402408528536,0.0009456026525574265,0.00019129101520889925,0.20229534539856014
F,"[0.15,0.20)",96,0.12786407223875235,0.17173326041666667,-0.043869188177914326,0.002880677640917645,0.002941746074352577,0.0004779607787663281,0.162475198975669
F,"[0.20,0.30)",108,0.15076425871923707,0.24083294444444442,-0.09006868572520735,0.009567698813794056,0.010013932862907532,0.0024471657942523174,0.24437609356428083
F,"[0.30,0.50)",53,0.18586895374621368,0.3543146226415095,-0.1684456688952958,0.02956371367785343,0.03043018545214313,0.0051598715906565115,0.16956425056203897
M,"[0.00,0.05)",828,0.04867083466480939,0.018468322463768116,0.030202512201041275,0.0021483555250678714,0.0021558439142053934,0.0008048414171721769,0.3733300967982311
M,"[0.05,0.10)",199,0.07857196145362876,0.0708087688442211,0.0077631926094076514,0.0015124744220171593,0.001539201890673047,0.0002776476671596954,0.1803841775676928
M,"[0.10,0.15)",111,0.1011646678471893,0.12103036036036036,-0.01986569251317105,0.002496904362315249,0.0025328616704931904,0.0003777449238963197,0.1491376052221464
M,"[0.15,0.20)",73,0.11762659007492289,0.1728620821917808,-0.05523549211685792,0.0044057193969253075,0.004460857567059914,0.0005844390769653943,0.13101496028051607
M,"[0.20,0.30)",46,0.13729298533903603,0.24472415217391302,-0.107431166834877,0.012944400381618138,0.01304561130560047,0.0014523653583603888,0.11132980466288227
M,"[0.30,0.50)",16,0.17465887348869455,0.36018787500000005,-0.1855290015113055,0.03790736684057531,0.040054911199692705,0.002195143536737216,0.05480335546853133
