gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.08531586895513046,0.02321862676056338,0.06209724219456708,0.008822432234003585,0.00922615824460636,0.0006114737707123644,0.06627609829582469
F,"[0.05,0.10)",172,0.08220954863692541,0.0758656976744186,0.0063438509625068085,0.0009427631487255586,0.0008592308545042634,0.0001331919637942325,0.15501301320362632
F,"[0.10,0.15)",156,0.08525869416691825,0.12378988461538462,-0.03853119044846637,0.0022423878475311787,0.0023326189326216664,0.0004718779526579207,0.20229534539856014
F,"[0.15,0.20)",96,0.08864267130390598,0.17173326041666667,-0.0830905891127607,0.008593300975762939,0.008676956332608739,0.001409790206643796,0.162475198975669
F,"[0.20,0.30)",108,0.09859575415134046,0.24083294444444442,-0.14223719029310394,0.02134388417672312,0.022092191710547875,0.005398803508496877,0.24437609356428083
F,"[0.30,0.50)",53,0.10679550477209812,0.3543146226415095,-0.24751911786941136,0.06262588156156432,0.06407849794473643,0.010865422481140388,0.16956425056203897
M,"[0.00,0.05)",828,0.08876436723552698,0.018468322463768116,0.07029604477175887,0.007149920124976866,0.006613195573503597,0.002468904943601731,0.3733300967982311
M,"[0.05,0.10)",199,0.09720125329173183,0.0708087688442211,0.02639248444751073,0.0032189704043669846,0.003014330335788166,0.0005437374985384956,0.1803841775676928
M,"[0.10,0.15)",111,0.10460081789418223,0.12103036036036036,-0.01642954246617813,0.0032417217839796637,0.0032910473121985973,0.0004908189148140804,0.1491376052221464
M,"[0.15,0.20)",73,0.10688589082016524,0.1728620821917808,-0.06597619137161558,0.008159326740550815,0.008191222779802455,0.0010731727271446772,0.13101496028051607
M,"[0.20,0.30)",46,0.10197827058046481,0.24472415217391302,-0.1427458815934482,0.022493426743745548,0.023082102410393088,0.002569725952557707,0.11132980466288227
M,"[0.30,0.50)",16,0.09481220515043823,0.36018787500000005,-0.26537566984956185,0.07246374671525202,0.07518636389433175,0.004120465026887413,0.05480335546853133
