gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.06662446542421453,0.02321862676056338,0.04340583866365115,0.005027904640075404,0.005115758815976584,0.00033905253414539583,0.06627609829582469
F,"[0.05,0.10)",172,0.06267245570141917,0.0758656976744186,-0.013193241972999425,0.0009117607954316222,0.000924142130983202,0.00014325405635212644,0.15501301320362632
F,"[0.10,0.15)",156,0.06406437716903775,0.12378988461538462,-0.05972550744634687,0.004169469734208074,0.004310649653816285,0.000872024360610949,0.20229534539856014
F,"[0.15,0.20)",96,0.06706197222392186,0.17173326041666667,-0.10467128819274481,0.012375930025071091,0.012520737067334267,0.0020343092463371696,0.162475198975669
F,"[0.20,0.30)",108,0.07390036398673606,0.24083294444444442,-0.16693258045770837,0.028839727406641043,0.02975224492413951,0.0072707373893289165,0.24437609356428083
F,"[0.30,0.50)",53,0.07962281803260074,0.3543146226415095,-0.27469180460890874,0.07672517332495077,0.07839955936686005,0.013293762528435707,0.16956425056203897
M,"[0.00,0.05)",828,0.07436975372015232,0.018468322463768116,0.05590143125638421,0.005025126486708336,0.0045373642515650495,0.001693934635245613,0.3733300967982311
M,"[0.05,0.10)",199,0.07983783206361762,0.0708087688442211,0.009029063219396519,0.0020780595982023667,0.0019551822206031306,0.00035268393685847097,0.1803841775676928
M,"[0.10,0.15)",111,0.08511746030909276,0.12103036036036036,-0.0359129000512676,0.0035749326248816927,0.00365623913646669,0.0005452827489321306,0.1491376052221464
M,"[0.15,0.20)",73,0.0887825109682811,0.1728620821917808,-0.08407957122349971,0.010492608981717493,0.01058035640430325,0.0013861849740634943,0.13101496028051607
M,"[0.20,0.30)",46,0.08259850862059998,0.24472415217391302,-0.16212564355331305,0.02787893244031931,0.02866057231677371,0.0031907759175528283,0.11132980466288227
M,"[0.30,0.50)",16,0.07413986602567578,0.36018787500000005,-0.28604800897432425,0.08377862762650512,0.08674837228501608,0.0047541018826522275,0.05480335546853133
