gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.24228629657706366,0.02321862676056338,0.21906766981650028,0.05155442669149235,0.049305257306994484,0.003267760079779295,0.06627609829582469
F,"[0.05,0.10)",172,0.23868517099587483,0.0758656976744186,0.16281947332145624,0.027895229891709637,0.02709525701315711,0.004200117433136171,0.15501301320362632
F,"[0.10,0.15)",156,0.2437177288681591,0.12378988461538462,0.11992784425277447,0.016466245611900607,0.01626358301941605,0.0032900471443309274,0.20229534539856014
F,"[0.15,0.20)",96,0.2500039898793728,0.17173326041666667,0.0782707294627061,0.01059789779399004,0.01015632339146272,0.001650150663889147,0.162475198975669
F,"[0.20,0.30)",108,0.2666711793441395,0.24083294444444442,0.025838234899695056,0.002520191592008547,0.0024433746652618863,0.000597102355810632,0.24437609356428083
F,"[0.30,0.50)",53,0.279656916138548,0.3543146226415095,-0.0746577065029615,0.007385372086058147,0.00788535551948431,0.0013370743990765946,0.16956425056203897
M,"[0.00,0.05)",828,0.2630071694972878,0.018468322463768116,0.2445388470335197,0.06413721167775718,0.06242217405587656,0.023304076282636425,0.3733300967982311
M,"[0.05,0.10)",199,0.2740396834367372,0.0708087688442211,0.20323091459251608,0.04683861838470693,0.045910974190974396,0.008281613320770485,0.1803841775676928
M,"[0.10,0.15)",111,0.2815931087348174,0.12103036036036036,0.16056274837445705,0.029915144349047868,0.029578070786043426,0.004411202644121646,0.1491376052221464
M,"[0.15,0.20)",73,0.2860457719512481,0.1728620821917808,0.11318368975946727,0.01799372419346723,0.017685377833796503,0.0023170490744407685,0.13101496028051607
M,"[0.20,0.30)",46,0.2848880841182999,0.24472415217391302,0.04016393194438689,0.00802906039912772,0.00737402255229436,0.0008209484903266196,0.11132980466288227
M,"[0.30,0.50)",16,0.2687341430914233,0.36018787500000005,-0.09145373190857675,0.010808402377697602,0.01192954866121311,0.000653779295859604,0.05480335546853133
