gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.0980513613964288,0.02321862676056338,0.07483273463586541,0.009403986824519503,0.008344193096661392,0.0005530205618736723,0.06627609829582469
F,"[0.05,0.10)",172,0.09304556761822684,0.0758656976744186,0.01717986994380824,0.0011590533757160958,0.0010462558591953803,0.00016218327331582488,0.15501301320362632
F,"[0.10,0.15)",156,0.09685687586038323,0.12378988461538462,-0.02693300875500139,0.002091805409245586,0.002155308398540179,0.000436008856923103,0.20229534539856014
F,"[0.15,0.20)",96,0.1026858758927814,0.17173326041666667,-0.06904738452388527,0.00889830973467913,0.008807668744652254,0.0014310277317991556,0.162475198975669
F,"[0.20,0.30)",108,0.11176459274153407,0.24083294444444442,-0.12906835170291037,0.01799858137637587,0.01867344551856878,0.004563343669213264,0.24437609356428083
F,"[0.30,0.50)",53,0.12037940533405164,0.3543146226415095,-0.23393521730745784,0.056238123085028915,0.05764827669057799,0.009775086833230917,0.16956425056203897
M,"[0.00,0.05)",828,0.11273956964739958,0.018468322463768116,0.09427124718363146,0.012032714155722685,0.011233126463783074,0.004193664190070907,0.3733300967982311
M,"[0.05,0.10)",199,0.12106348606173387,0.0708087688442211,0.05025471721751276,0.006466125679327499,0.006100681570383239,0.001100466427675961,0.1803841775676928
M,"[0.10,0.15)",111,0.12497201595463409,0.12103036036036036,0.00394165559427373,0.0029884314391931508,0.0029795773701523725,0.0004443670335586257,0.1491376052221464
M,"[0.15,0.20)",73,0.1301379441450815,0.1728620821917808,-0.042724138046699306,0.005431042365458148,0.0055026775094431475,0.0007209330753361831,0.13101496028051607
M,"[0.20,0.30)",46,0.12912738040851934,0.24472415217391302,-0.11559677176539368,0.018167890532229943,0.01862422154983862,0.002073430947141776,0.11132980466288227
M,"[0.30,0.50)",16,0.11238888007061987,0.36018787500000005,-0.24779899492938018,0.06357914547088583,0.06624236618462957,0.003630303941092874,0.05480335546853133
