gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.06536757426428585,0.02321862676056338,0.04214894750372247,0.0035990657321260467,0.003074370809016275,0.0002037573019361767,0.06627609829582469
F,"[0.05,0.10)",172,0.06203037841215121,0.0758656976744186,-0.013835319262267387,0.0007083739131687919,0.0007512453056466575,0.00011645279848336759,0.15501301320362632
F,"[0.10,0.15)",156,0.0645712505735888,0.12378988461538462,-0.05921863404179582,0.004209705354117985,0.004349100877080957,0.0008798028641022731,0.20229534539856014
F,"[0.15,0.20)",96,0.0684572505951876,0.17173326041666667,-0.10327600982147907,0.012642420160024035,0.01276678865580603,0.0020742865271323988,0.162475198975669
F,"[0.20,0.30)",108,0.07450972849435601,0.24083294444444442,-0.16632321595008842,0.028651262105221693,0.029569543181393907,0.00722608945114936,0.24437609356428083
F,"[0.30,0.50)",53,0.08025293688936774,0.3543146226415095,-0.27406168575214174,0.07640312046390076,0.07808784567754623,0.013240907030317283,0.16956425056203897
M,"[0.00,0.05)",828,0.07519122467652053,0.018468322463768116,0.05672290221275242,0.004740334605128582,0.004287994052744905,0.0016008372347814945,0.3733300967982311
M,"[0.05,0.10)",199,0.081546511645846,0.0708087688442211,0.0107377428016249,0.0026232517027632747,0.0024619539317481875,0.0004440975351879445,0.1803841775676928
M,"[0.10,0.15)",111,0.08331467730308938,0.12103036036036036,-0.03771568305727098,0.0028444771645300647,0.0029395426329256093,0.0004383963487229283,0.1491376052221464
M,"[0.15,0.20)",73,0.08675862943005432,0.1728620821917808,-0.0861034527617265,0.009157961895853465,0.009339279781111475,0.0012235853695709469,0.13101496028051607
M,"[0.20,0.30)",46,0.08608492027234622,0.24472415217391302,-0.1586392319015668,0.027792501510571086,0.028601318758331936,0.003184179230465925,0.11132980466288227
M,"[0.30,0.50)",16,0.0749259200470799,0.36018787500000005,-0.28526195495292017,0.08341506430467699,0.0864484679234656,0.004737666117319614,0.05480335546853133
