gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.14994602121724787,0.02321862676056338,0.1267273944566845,0.018820406389441234,0.01771649074525315,0.0011741798820894662,0.06627609829582469
F,"[0.05,0.10)",172,0.1475646968196174,0.0758656976744186,0.0716989991451988,0.006019598134900135,0.005677513794668691,0.0008800885208167482,0.15501301320362632
F,"[0.10,0.15)",156,0.15334416604809475,0.12378988461538462,0.029554281432710133,0.0021696323681665553,0.0021219334140111824,0.00042925725290013806,0.20229534539856014
F,"[0.15,0.20)",96,0.15880897088956206,0.17173326041666667,-0.012924289527104615,0.0033842064742993175,0.0032273913956438814,0.0005243710591796017,0.162475198975669
F,"[0.20,0.30)",108,0.17158269564062026,0.24083294444444442,-0.06925024880382416,0.006205736841571292,0.006575492180059458,0.001606893092225407,0.24437609356428083
F,"[0.30,0.50)",53,0.18183123073433705,0.3543146226415095,-0.17248339190717243,0.03127533741856,0.03230516819769101,0.005477801634722092,0.16956425056203897
M,"[0.00,0.05)",828,0.1602662395104939,0.018468322463768116,0.14179791704672579,0.022981093345483136,0.022024477609766772,0.008222400357984702,0.3733300967982311
M,"[0.05,0.10)",199,0.17094426131904525,0.0708087688442211,0.10013549247482414,0.01387772245558435,0.013352440198185305,0.002408568943671457,0.1803841775676928
M,"[0.10,0.15)",111,0.17629801623607486,0.12103036036036036,0.0552676558757145,0.005801512314114149,0.005686161004866772,0.0008480204351733839,0.1491376052221464
M,"[0.15,0.20)",73,0.17998373865439307,0.1728620821917808,0.007121656462612258,0.0033593011058760175,0.0033263531566762932,0.00043580202670091383,0.13101496028051607
M,"[0.20,0.30)",46,0.18032409135303382,0.24472415217391302,-0.0644000608208792,0.008570793753069144,0.00866717690695492,0.0009649151120299354,0.11132980466288227
M,"[0.30,0.50)",16,0.16844964039106025,0.36018787500000005,-0.1917382346089398,0.03908924512083237,0.04116638045407384,0.002256055781377409,0.05480335546853133
