gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.15349449148530314,0.02321862676056338,0.13027586472473976,0.01935229825460967,0.018379610479858866,0.0012181288708020958,0.06627609829582469
F,"[0.05,0.10)",172,0.1520044479524412,0.0758656976744186,0.0761387502780226,0.006642094559481136,0.0062893896837029305,0.0009749372460825935,0.15501301320362632
F,"[0.10,0.15)",156,0.15832395854886724,0.12378988461538462,0.03453407393348262,0.0023924539750230433,0.0023357113498963843,0.0004725035342786262,0.20229534539856014
F,"[0.15,0.20)",96,0.1635262903505701,0.17173326041666667,-0.00820697006609658,0.002871091744783453,0.0027358061676096843,0.00044450065144124596,0.162475198975669
F,"[0.20,0.30)",108,0.17696930792141027,0.24083294444444442,-0.06386363652303415,0.00547122590653137,0.005815380212906315,0.001421139899021061,0.24437609356428083
F,"[0.30,0.50)",53,0.18736372756475658,0.3543146226415095,-0.1669508950767529,0.02938736603921595,0.030378442403083645,0.005151097819320945,0.16956425056203897
M,"[0.00,0.05)",828,0.16162545549529592,0.018468322463768116,0.1431571330315278,0.023134096208890585,0.022229049931818918,0.008298773362778669,0.3733300967982311
M,"[0.05,0.10)",199,0.17283012423844685,0.0708087688442211,0.10202135539422574,0.01406523429011456,0.013546745728442547,0.002443618586943764,0.1803841775676928
M,"[0.10,0.15)",111,0.17829167445865954,0.12103036036036036,0.05726131409829918,0.00581946992331806,0.005701651908388368,0.000850330711427322,0.1491376052221464
M,"[0.15,0.20)",73,0.1814294459195029,0.1728620821917808,0.0085673637277221,0.00313311272398671,0.00310357225378883,0.0004066143955578553,0.13101496028051607
M,"[0.20,0.30)",46,0.18235037047026112,0.24472415217391302,-0.062373781703651904,0.008036984097608033,0.008126358509944082,0.0009047059055326257,0.11132980466288227
M,"[0.30,0.50)",16,0.17238837882594996,0.36018787500000005,-0.1877994961740501,0.037634452948419175,0.039661757853558875,0.002173597414155401,0.05480335546853133
