gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.03803312195921596,0.02321862676056338,0.014814495198652581,0.0008618380322629863,0.0007491912530336087,4.9653473128427516e-05,0.06627609829582469
F,"[0.05,0.10)",172,0.03726438698217273,0.0758656976744186,-0.03860131069224587,0.0018051282992651773,0.0019547871185412223,0.0003030174414167091,0.15501301320362632
F,"[0.10,0.15)",156,0.03953269430476851,0.12378988461538462,-0.08425719031061611,0.007434303282046931,0.00763777168266611,0.0015450856606202825,0.20229534539856014
F,"[0.15,0.20)",96,0.04143031660971878,0.17173326041666667,-0.1303029438069479,0.017664666098139523,0.017914447058190407,0.0029106533503185745,0.162475198975669
F,"[0.20,0.30)",108,0.04566001787871136,0.24083294444444442,-0.19517292656573307,0.03893199253500176,0.040061613264831215,0.009790100551542428,0.24437609356428083
F,"[0.30,0.50)",53,0.04924925805439164,0.3543146226415095,-0.30506536458711786,0.09427428095094187,0.09619017416084176,0.01631041479301514,0.16956425056203897
M,"[0.00,0.05)",828,0.04221284428937302,0.018468322463768116,0.0237445218256049,0.0011788843880736095,0.0010192495485276684,0.00038051653261338776,0.3733300967982311
M,"[0.05,0.10)",199,0.047054411039691144,0.0708087688442211,-0.02375435780452996,0.0016314864501827586,0.0016896512148839892,0.0003047863447731014,0.1803841775676928
M,"[0.10,0.15)",111,0.04794855394407312,0.12103036036036036,-0.07308180641628723,0.005935847243063371,0.00612857163280525,0.0009140004967489546,0.1491376052221464
M,"[0.15,0.20)",73,0.04960103450853753,0.1728620821917808,-0.12326104768324328,0.015863733240241467,0.01610561335880317,0.002110076294496946,0.13101496028051607
M,"[0.20,0.30)",46,0.049667952658124716,0.24472415217391302,-0.19505619951578831,0.03940157132667912,0.04037619758783376,0.004495074190483471,0.11132980466288227
M,"[0.30,0.50)",16,0.04430099716726249,0.36018787500000005,-0.31588687783273756,0.10175792015602861,0.10508242762029248,0.005758869634371103,0.05480335546853133
