gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.17289081506399734,0.02321862676056338,0.14967218830343396,0.024904987569349273,0.023757400456277257,0.0015745478078935018,0.06627609829582469
F,"[0.05,0.10)",172,0.1709300379059277,0.0758656976744186,0.0950643402315091,0.00993711700759333,0.009502618984165013,0.0014730296020614012,0.15501301320362632
F,"[0.10,0.15)",156,0.1775530046999712,0.12378988461538462,0.053763120084586585,0.004172447458903948,0.0040811982321860615,0.0008256074060200724,0.20229534539856014
F,"[0.15,0.20)",96,0.1828617258881824,0.17173326041666667,0.01112846547151572,0.0030159436784403765,0.002835266667918782,0.00046066051601918615,0.162475198975669
F,"[0.20,0.30)",108,0.19721902545451447,0.24083294444444442,-0.043613918989929945,0.003356601413718607,0.0036024104748150288,0.0008803429992503427,0.24437609356428083
F,"[0.30,0.50)",53,0.20816772733445937,0.3543146226415095,-0.1461468953070501,0.02290681679276991,0.02377950846906406,0.004032154532290506,0.16956425056203897
M,"[0.00,0.05)",828,0.18317104419302097,0.018468322463768116,0.16470272172925285,0.03029339408413137,0.029087788268244007,0.010859346809829987,0.3733300967982311
M,"[0.05,0.10)",199,0.19382927411776388,0.0708087688442211,0.12302050527354277,0.019031705108253104,0.018440242336804046,0.003326327948073347,0.1803841775676928
M,"[0.10,0.15)",111,0.2009975762022523,0.12103036036036036,0.07996721584189195,0.009524043012317386,0.009358786112617213,0.001395746948622012,0.1491376052221464
M,"[0.15,0.20)",73,0.20134622201552665,0.1728620821917808,0.02848413982374584,0.004090771373743034,0.00401741250978756,0.0005263411404002656,0.13101496028051607
M,"[0.20,0.30)",46,0.20443945194416122,0.24472415217391302,-0.04028470022975181,0.007308052139029251,0.007141551087255979,0.0007950674875342027,0.11132980466288227
M,"[0.30,0.50)",16,0.19247568052839192,0.36018787500000005,-0.16771219447160812,0.030545293329125943,0.03237449655643651,0.0017742310428971336,0.05480335546853133
