gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.04670959623233367,0.02321862676056338,0.023490969471770293,0.002166803713915822,0.0021828589988847854,0.00014467137757601353,0.06627609829582469
F,"[0.05,0.10)",172,0.04429518911964941,0.0758656976744186,-0.03157050855476919,0.0015182382187697988,0.0016338939807168228,0.0002532748292061824,0.15501301320362632
F,"[0.10,0.15)",156,0.04511949354231348,0.12378988461538462,-0.07867039107307114,0.006645619503607334,0.006834615866823919,0.001382610977445624,0.20229534539856014
F,"[0.15,0.20)",96,0.046637338998103406,0.17173326041666667,-0.12509592141856327,0.016472688969795386,0.016695891866053678,0.002712668353013325,0.162475198975669
F,"[0.20,0.30)",108,0.05183895099523381,0.24083294444444442,-0.1889939934492106,0.03663425076733813,0.03770296088175643,0.009213702296090531,0.24437609356428083
F,"[0.30,0.50)",53,0.05582194786272944,0.3543146226415095,-0.29849267477878005,0.09033711309670475,0.09220755649816645,0.01563510521376846,0.16956425056203897
M,"[0.00,0.05)",828,0.05484571998236462,0.018468322463768116,0.036377397518596505,0.0025967542686262048,0.0022970696313447795,0.0008575652278222236,0.3733300967982311
M,"[0.05,0.10)",199,0.05999449802851442,0.0708087688442211,-0.010814270815706684,0.0015964890532413325,0.0015822096197355222,0.0002854055809956841,0.1803841775676928
M,"[0.10,0.15)",111,0.06288897602434838,0.12103036036036036,-0.05814138433601197,0.004944078020217514,0.0050796648269601005,0.0007575690476239981,0.1491376052221464
M,"[0.15,0.20)",73,0.06654396417480826,0.1728620821917808,-0.10631811801697255,0.013332991993523311,0.013533544581135109,0.0017730968057520099,0.13101496028051607
M,"[0.20,0.30)",46,0.06103729071622054,0.24472415217391302,-0.18368686145769247,0.034888966106203616,0.03577671808152304,0.0039830150354949675,0.11132980466288227
M,"[0.30,0.50)",16,0.054800208376888475,0.36018787500000005,-0.30538766662311156,0.09531046181423954,0.09858704438024558,0.005402900837762473,0.05480335546853133
