gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.04583480994020951,0.02321862676056338,0.022616183179646133,0.0015328269351332505,0.0012680622425773258,8.404221783427874e-05,0.06627609829582469
F,"[0.05,0.10)",172,0.043902300248283885,0.0758656976744186,-0.031963397426134715,0.0014323571251520617,0.0015581867851410516,0.00024153922869878585,0.15501301320362632
F,"[0.10,0.15)",156,0.04557577872763257,0.12378988461538462,-0.07821410588775204,0.006637749603561506,0.006826871919385177,0.0013810444129237556,0.20229534539856014
F,"[0.15,0.20)",96,0.04752826644588084,0.17173326041666667,-0.12420499397078583,0.01652909124402417,0.016750062752349616,0.0027214697785429456,0.162475198975669
F,"[0.20,0.30)",108,0.05230763028171399,0.24083294444444442,-0.18852531416273044,0.036477197891121395,0.037551660702190494,0.009176728149252631,0.24437609356428083
F,"[0.30,0.50)",53,0.056144621609323264,0.3543146226415095,-0.2981700010321862,0.09015519935785536,0.0920329061796033,0.01560549076339088,0.16956425056203897
M,"[0.00,0.05)",828,0.0556353412028484,0.018468322463768116,0.037167018739080286,0.0024957301105320174,0.002202676941682317,0.0008223255958534911,0.3733300967982311
M,"[0.05,0.10)",199,0.06156052542748289,0.0708087688442211,-0.009248243416738217,0.0022093870481365682,0.0021453810580344857,0.0003869927977228573,0.1803841775676928
M,"[0.10,0.15)",111,0.061824852711326976,0.12103036036036036,-0.05920550764903338,0.004574291210349708,0.004722474687715926,0.0007042985656481568,0.1491376052221464
M,"[0.15,0.20)",73,0.06516807836877005,0.1728620821917808,-0.10769400382301077,0.01279760062807264,0.013025333658297628,0.0017065135718823332,0.13101496028051607
M,"[0.20,0.30)",46,0.06426353743701144,0.24472415217391302,-0.1804606147369016,0.03456805025807027,0.035511109814069575,0.003953444918962527,0.11132980466288227
M,"[0.30,0.50)",16,0.055570009495215233,0.36018787500000005,-0.3046178655047848,0.09490379694418846,0.09822285730921516,0.005382942164251749,0.05480335546853133
