gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.030556539960139666,0.02321862676056338,0.0073379131995762875,0.0006269924546415537,0.0005343407608483676,3.541402078945216e-05,0.06627609829582469
F,"[0.05,0.10)",172,0.029268200165522576,0.0758656976744186,-0.046597497508896024,0.002477699991939627,0.0026628164416584573,0.00041277120022963564,0.15501301320362632
F,"[0.10,0.15)",156,0.030383852485088358,0.12378988461538462,-0.09340603213029626,0.009059463243902109,0.009290204702652832,0.0018793651691464822,0.20229534539856014
F,"[0.15,0.20)",96,0.031685510963920534,0.17173326041666667,-0.14004774945274615,0.020228715011694574,0.0205044075961651,0.0033314577040651433,0.162475198975669
F,"[0.20,0.30)",108,0.03487175352114265,0.24083294444444442,-0.20596119092330178,0.04326358446878255,0.04447278031693658,0.0108680843237954,0.24437609356428083
F,"[0.30,0.50)",53,0.037429747739548845,0.3543146226415095,-0.31688487490196066,0.1016247256647526,0.10363500315078437,0.0175727916412573,0.16956425056203897
M,"[0.00,0.05)",828,0.037090227468565586,0.018468322463768116,0.01862190500479747,0.0009509134931025213,0.000821525569309731,0.0003067002203126238,0.3733300967982311
M,"[0.05,0.10)",199,0.04104035028498858,0.0708087688442211,-0.029768418559232526,0.0019448677274593327,0.0020222606895526673,0.0003647838313124332,0.1803841775676928
M,"[0.10,0.15)",111,0.041216568474217966,0.12103036036036036,-0.07981379188614239,0.0069511970982171975,0.007155904129566798,0.0010672144050828602,0.1491376052221464
M,"[0.15,0.20)",73,0.04344538557918001,0.1728620821917808,-0.1294166966126008,0.017405963627817125,0.01766873427390209,0.0023148685191022754,0.13101496028051607
M,"[0.20,0.30)",46,0.042842358291340935,0.24472415217391302,-0.2018817938825721,0.042066004602774376,0.0430962975490862,0.004797902387833218,0.11132980466288227
M,"[0.30,0.50)",16,0.03704667299681014,0.36018787500000005,-0.3231412020031899,0.10645556735009372,0.10992963766869461,0.006024513009684322,0.05480335546853133
