gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.08577071290578075,0.02321862676056338,0.06255208614521737,0.008416078225930565,0.00861174856702776,0.0005707530945272592,0.06627609829582469
F,"[0.05,0.10)",172,0.0826719488533311,0.0758656976744186,0.006806251178912495,0.0011757364816874884,0.0010546300689892858,0.00016348138480917749,0.15501301320362632
F,"[0.10,0.15)",156,0.08665677443824608,0.12378988461538462,-0.03713311017713854,0.0023958002699814517,0.0024835999019393014,0.0005024206999946411,0.20229534539856014
F,"[0.15,0.20)",96,0.09056564281660312,0.17173326041666667,-0.08116761760006355,0.00911575995142598,0.009146203150113488,0.0014860311766865795,0.162475198975669
F,"[0.20,0.30)",108,0.10098045951772014,0.24083294444444442,-0.13985248492672428,0.020898375316959244,0.02162089853580829,0.005283630723530509,0.24437609356428083
F,"[0.30,0.50)",53,0.10914547267045753,0.3543146226415095,-0.24516914997105194,0.061611519765189096,0.06302791457060566,0.010687281098652966,0.16956425056203897
M,"[0.00,0.05)",828,0.09160548497383399,0.018468322463768116,0.07313716251006587,0.008266540548756758,0.007683473025577219,0.0028684717283853404,0.3733300967982311
M,"[0.05,0.10)",199,0.10103134044796458,0.0708087688442211,0.030222571603743476,0.004558764808114637,0.0042631194624632995,0.0007689992981092669,0.1803841775676928
M,"[0.10,0.15)",111,0.10868186716534313,0.12103036036036036,-0.012348493195017227,0.004693409997129624,0.004728293564700408,0.0007051663790267047,0.1491376052221464
M,"[0.15,0.20)",73,0.11284295701734973,0.1728620821917808,-0.06001912517443109,0.009327781296422318,0.0092651877948424,0.0012138782109327993,0.13101496028051607
M,"[0.20,0.30)",46,0.1048587859309956,0.24472415217391302,-0.13986536624291743,0.022381416814562217,0.022956220580134978,0.002555711552984465,0.11132980466288227
M,"[0.30,0.50)",16,0.09581703839295395,0.36018787500000005,-0.2643708366070461,0.07195869697551528,0.07467300968429595,0.004092331493633554,0.05480335546853133
