gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.08398271799969875,0.02321862676056338,0.06076409123913537,0.005985655723413685,0.005378436281591748,0.00035646177167660453,0.06627609829582469
F,"[0.05,0.10)",172,0.08166088419494977,0.0758656976744186,0.0057951865205311676,0.0007780258122675107,0.0007162598630146517,0.00011102959960271777,0.15501301320362632
F,"[0.10,0.15)",156,0.08708081871961477,0.12378988461538462,-0.036709065895769846,0.002473933059850359,0.0025562890517773175,0.0005171253766678502,0.20229534539856014
F,"[0.15,0.20)",96,0.09237453440377645,0.17173326041666667,-0.07935872601289022,0.00966942915601871,0.0096563520267327,0.0015689177169225,0.162475198975669
F,"[0.20,0.30)",108,0.1015567138979285,0.24083294444444442,-0.13927623054651592,0.0207403088992565,0.021473805798537058,0.005247684775004488,0.24437609356428083
F,"[0.30,0.50)",53,0.10983909720457741,0.3543146226415095,-0.24447552543693207,0.061295547040506826,0.06272601533992327,0.01063608978185705,0.16956425056203897
M,"[0.00,0.05)",828,0.092618279703117,0.018468322463768116,0.07414995723934889,0.007996351985245615,0.007443426106688964,0.0027788549889206714,0.3733300967982311
M,"[0.05,0.10)",199,0.101989128441912,0.0708087688442211,0.0311803595976909,0.004230792155023923,0.0039910404365235555,0.0007199205467817072,0.1803841775676928
M,"[0.10,0.15)",111,0.10580480817729532,0.12103036036036036,-0.015225552183065039,0.002833638078705983,0.0028865692530329074,0.0004304960257052077,0.1491376052221464
M,"[0.15,0.20)",73,0.1102277507765942,0.1728620821917808,-0.06263433141518661,0.006959837085683352,0.007083978862420962,0.0009281072092880979,0.13101496028051607
M,"[0.20,0.30)",46,0.10966829901971732,0.24472415217391302,-0.13505585315419572,0.022497071002120256,0.02306803620060502,0.0025681599641696534,0.11132980466288227
M,"[0.30,0.50)",16,0.09666930631700228,0.36018787500000005,-0.2635185686829978,0.0716324402158089,0.07442049645429327,0.0040784929213292095,0.05480335546853133
