gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.03279997128217663,0.02321862676056338,0.009581344521613255,0.0017707826333470925,0.0018580228801937325,0.00012314250704361114,0.06627609829582469
F,"[0.05,0.10)",172,0.030117338163000718,0.0758656976744186,-0.04574835951141788,0.0025689319532051593,0.0027402116214576937,0.00042476846025775173,0.15501301320362632
F,"[0.10,0.15)",156,0.03030200791033876,0.12378988461538462,-0.09348787670504585,0.009087624870726238,0.009317154175835634,0.0018848169221323066,0.20229534539856014
F,"[0.15,0.20)",96,0.03199637438308933,0.17173326041666667,-0.13973688603357734,0.020369232308979867,0.020632034687304172,0.0033521939410926503,0.162475198975669
F,"[0.20,0.30)",108,0.03497319560514641,0.24083294444444442,-0.205859748839298,0.04327693970697327,0.044479416616810666,0.01086970607683435,0.24437609356428083
F,"[0.30,0.50)",53,0.03861333112874044,0.3543146226415095,-0.31570129151276904,0.1008704324610096,0.10281679451684762,0.017434052707440428,0.16956425056203897
M,"[0.00,0.05)",828,0.038189814435337116,0.018468322463768116,0.019721491971569,0.0013323186882233347,0.0011772789738252931,0.00043951367325671887,0.3733300967982311
M,"[0.05,0.10)",199,0.04132389017009666,0.0708087688442211,-0.029484878674124443,0.0018207538577426912,0.0018927960152784118,0.00034143045251940236,0.1803841775676928
M,"[0.10,0.15)",111,0.044373584678118624,0.12103036036036036,-0.07665677568224173,0.0074032618679403086,0.007586281894110093,0.001131399914227708,0.1491376052221464
M,"[0.15,0.20)",73,0.0484926530921236,0.1728620821917808,-0.12436942909965722,0.017664226501515532,0.017915914414896365,0.0023472528154567726,0.13101496028051607
M,"[0.20,0.30)",46,0.04429484347067763,0.24472415217391302,-0.2004293087032354,0.041317931398784404,0.042302962868477505,0.004709580592808763,0.11132980466288227
M,"[0.30,0.50)",16,0.037715436736271715,0.36018787500000005,-0.32247243826372834,0.10581852020061741,0.10907942365281295,0.0059779184287476325,0.05480335546853133
