gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.031905566036239126,0.02321862676056338,0.008686939275675747,0.0010951161615922345,0.0009165324327699692,6.074419360557381e-05,0.06627609829582469
F,"[0.05,0.10)",172,0.02959893713418359,0.0758656976744186,-0.046266760540235013,0.0024939418363469027,0.0026761731126259095,0.0004148416580426698,0.15501301320362632
F,"[0.10,0.15)",156,0.030926474506853794,0.12378988461538462,-0.09286341010853083,0.009078629460231687,0.009308092475119075,0.0018829837822559516,0.20229534539856014
F,"[0.15,0.20)",96,0.033093180965514925,0.17173326041666667,-0.13864007945115175,0.020421234035011167,0.020680516922213996,0.003360071101856409,0.162475198975669
F,"[0.20,0.30)",108,0.0352822345538335,0.24083294444444442,-0.20555070989061092,0.043165515680956106,0.04437255816599135,0.010843592426058795,0.24437609356428083
F,"[0.30,0.50)",53,0.038722292322240406,0.3543146226415095,-0.3155923303192691,0.1008137956963437,0.10277087776962363,0.017426266868609142,0.16956425056203897
M,"[0.00,0.05)",828,0.03903939899349349,0.018468322463768116,0.020571076529725375,0.0013924923234960326,0.0012275551576197727,0.0004582832858193576,0.3733300967982311
M,"[0.05,0.10)",199,0.04287040597639202,0.0708087688442211,-0.02793836286782908,0.0021759787601042407,0.0022224627110949717,0.00040089710831573127,0.1803841775676928
M,"[0.10,0.15)",111,0.042675998846873786,0.12103036036036036,-0.07835436151348657,0.006971812066088107,0.007174990754983886,0.0010700609386893368,0.1491376052221464
M,"[0.15,0.20)",73,0.04686298576351745,0.1728620821917808,-0.12599909642826337,0.017175897809267888,0.017452172669274516,0.002286495709073709,0.13101496028051607
M,"[0.20,0.30)",46,0.04804965902753216,0.24472415217391302,-0.19667449314638086,0.04076910586094444,0.041830543305083075,0.004656986215097136,0.11132980466288227
M,"[0.30,0.50)",16,0.03813303649728845,0.36018787500000005,-0.3220548385027116,0.10560222388693338,0.10890795254654947,0.005968521236758493,0.05480335546853133
