gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.056877245970087004,0.02321862676056338,0.03365861920952362,0.003423828734065438,0.003558132900675359,0.00023581916587476793,0.06627609829582469
F,"[0.05,0.10)",172,0.05442479100848099,0.0758656976744186,-0.021440906665937613,0.0009735100534542996,0.0010391584937423201,0.0001610830893111387,0.15501301320362632
F,"[0.10,0.15)",156,0.05680433547462021,0.12378988461538462,-0.0669855491407644,0.004915575239668768,0.0050714946916493395,0.0010259397703341673,0.20229534539856014
F,"[0.15,0.20)",96,0.059095114202604014,0.17173326041666667,-0.11263814621406265,0.013556542691329105,0.01374656186981769,0.0022334753750299736,0.162475198975669
F,"[0.20,0.30)",108,0.06573050276756033,0.24083294444444442,-0.1751024416768841,0.03155012444152944,0.032521721225948576,0.007947531189183867,0.24437609356428083
F,"[0.30,0.50)",53,0.07076506265975908,0.3543146226415095,-0.2835495599817504,0.08161346746944359,0.08333486090633407,0.014130613235274299,0.16956425056203897
M,"[0.00,0.05)",828,0.059069301856380804,0.018468322463768116,0.04060097939261269,0.0027216152632072517,0.002424116387787351,0.0009049956057028299,0.3733300967982311
M,"[0.05,0.10)",199,0.0644236007921804,0.0708087688442211,-0.006385168052040702,0.0012612046308072772,0.0012482740907952853,0.00022516889524716702,0.1803841775676928
M,"[0.10,0.15)",111,0.06914020115345884,0.12103036036036036,-0.051890159206901515,0.004099697558459885,0.004237836750512626,0.0006320208242938557,0.1491376052221464
M,"[0.15,0.20)",73,0.07104518578112305,0.1728620821917808,-0.10181689641065776,0.012195825844932486,0.01237533414399203,0.0016213539113332303,0.13101496028051607
M,"[0.20,0.30)",46,0.06756099899657832,0.24472415217391302,-0.17716315317733472,0.03269528425769293,0.033494768514707084,0.0037289660359707986,0.11132980466288227
M,"[0.30,0.50)",16,0.06320813676695884,0.36018787500000005,-0.2969797382330412,0.09014962354106902,0.09321591513454687,0.005108544932443022,0.05480335546853133
