gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.22267211104627505,0.02321862676056338,0.19945348428571166,0.04437106035606868,0.04388349691279997,0.00290842695495725,0.06627609829582469
F,"[0.05,0.10)",172,0.22077686797548737,0.0758656976744186,0.14491117030106876,0.022431067262424144,0.021660880507404306,0.0033577183560964357,0.15501301320362632
F,"[0.10,0.15)",156,0.22635178112283874,0.12378988461538462,0.10256189650745412,0.011884374823100197,0.011727666269878647,0.0023724522987841443,0.20229534539856014
F,"[0.15,0.20)",96,0.23076015117701512,0.17173326041666667,0.05902689076034845,0.00586939621949883,0.005642784441089748,0.000916812524842866,0.162475198975669
F,"[0.20,0.30)",108,0.24748053148299579,0.24083294444444442,0.006647587038551367,0.0016244172596530705,0.0016423371845170804,0.0004013479454676436,0.24437609356428083
F,"[0.30,0.50)",53,0.259407862969111,0.3543146226415095,-0.09490675967239848,0.010591178257903414,0.011169277993266226,0.0018939102522472623,0.16956425056203897
M,"[0.00,0.05)",828,0.22826152121823315,0.018468322463768116,0.20979319875446503,0.047884396079112296,0.04664124855710231,0.017412581838613363,0.3733300967982311
M,"[0.05,0.10)",199,0.2405560587150949,0.0708087688442211,0.16974728987087379,0.03319392322116076,0.03240748024689713,0.005845796671377789,0.1803841775676928
M,"[0.10,0.15)",111,0.25152930691038256,0.12103036036036036,0.1304989465500222,0.021377576824892473,0.021110659959469355,0.0031483932710143136,0.1491376052221464
M,"[0.15,0.20)",73,0.2535674389899252,0.1728620821917808,0.08070535679814436,0.012677337457224318,0.012238539117025998,0.0016034317163087035,0.13101496028051607
M,"[0.20,0.30)",46,0.24846745407284387,0.24472415217391302,0.003743301898930851,0.0040861831136402346,0.0038379112018530875,0.000427273904415792,0.11132980466288227
M,"[0.30,0.50)",16,0.24242399881898474,0.36018787500000005,-0.1177638761810153,0.01620124099461997,0.017476325058625473,0.0009577612544714535,0.05480335546853133
