gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.1348023932587218,0.02321862676056338,0.1115837664981584,0.014814630887804017,0.013964996561891495,0.0009255454848367746,0.06627609829582469
F,"[0.05,0.10)",172,0.13307885799895477,0.0758656976744186,0.057213160324536175,0.0040660002040000245,0.0037949081582771466,0.0005882601484455645,0.15501301320362632
F,"[0.10,0.15)",156,0.13909491239776334,0.12378988461538462,0.015305027782378716,0.0013557029776872919,0.001334841605663602,0.00027003224367008695,0.20229534539856014
F,"[0.15,0.20)",96,0.14419085481295787,0.17173326041666667,-0.027542405603708797,0.0034776287801313002,0.0033885040077873767,0.0005505478628951059,0.162475198975669
F,"[0.20,0.30)",108,0.15671959038830605,0.24083294444444442,-0.08411335405613837,0.008409329138994472,0.008854381730838821,0.002163799218309327,0.24437609356428083
F,"[0.30,0.50)",53,0.1665597277950539,0.3543146226415095,-0.18775489484645558,0.03673534945923017,0.03784627083586314,0.006417374550851085,0.16956425056203897
M,"[0.00,0.05)",828,0.14261609868162892,0.018468322463768116,0.1241477762178608,0.017891000305642054,0.01708058331063114,0.006376695820728174,0.3733300967982311
M,"[0.05,0.10)",199,0.15333851204757212,0.0708087688442211,0.08252974320335102,0.010285718996961818,0.009842323427090995,0.0017753994167510445,0.1803841775676928
M,"[0.10,0.15)",111,0.1582884754177696,0.12103036036036036,0.03725811505740925,0.0037763598900109672,0.0037056499735104013,0.0005526517628408514,0.1491376052221464
M,"[0.15,0.20)",73,0.16151266982347923,0.1728620821917808,-0.011349412368301587,0.002983888180275183,0.002998406989022353,0.0003928361725715854,0.13101496028051607
M,"[0.20,0.30)",46,0.1624352020398393,0.24472415217391302,-0.08228895013407372,0.01068844508365207,0.01091084228823771,0.0012147019406570196,0.11132980466288227
M,"[0.30,0.50)",16,0.15230107712350804,0.36018787500000005,-0.207886797876492,0.04553369537592651,0.047759537641850945,0.00261738291839906,0.05480335546853133
