gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.08329651991078466,0.02321862676056338,0.06007789315022127,0.005825461456560713,0.005343715720659579,0.00035416062836737794,0.06627609829582469
F,"[0.05,0.10)",172,0.08081008317323696,0.0758656976744186,0.004944385498818357,0.000622338131345769,0.000578868833562186,8.97322021401429e-05,0.15501301320362632
F,"[0.10,0.15)",156,0.0855798835475504,0.12378988461538462,-0.03821000106783422,0.0022779812206231587,0.0023651560658691883,0.0004784600632665071,0.20229534539856014
F,"[0.15,0.20)",96,0.0901336950464154,0.17173326041666667,-0.08159956537025127,0.008943259234208883,0.008999098439815542,0.0014621303096106627,0.162475198975669
F,"[0.20,0.30)",108,0.09912707559347426,0.24083294444444442,-0.14170586885097014,0.021197186430077494,0.021954054085548232,0.005365045975325216,0.24437609356428083
F,"[0.30,0.50)",53,0.10673585784290653,0.3543146226415095,-0.24757876479860297,0.06265690221389443,0.06413222946939909,0.010874533426851367,0.16956425056203897
M,"[0.00,0.05)",828,0.08948851156568434,0.018468322463768116,0.07102018910191622,0.006908388416830455,0.006391008392380382,0.002385955781765675,0.3733300967982311
M,"[0.05,0.10)",199,0.09822936991765124,0.0708087688442211,0.02742060107343014,0.003556108358722996,0.003330855976089984,0.0006008337158434264,0.1803841775676928
M,"[0.10,0.15)",111,0.10136433486964005,0.12103036036036036,-0.0196660254907203,0.0021530764378145536,0.002215976664554693,0.00033048545297984655,0.1491376052221464
M,"[0.15,0.20)",73,0.10449850822436703,0.1728620821917808,-0.06836357396741378,0.006747179844698648,0.0068862057173181635,0.0009021959685379018,0.13101496028051607
M,"[0.20,0.30)",46,0.10537482975205992,0.24472415217391302,-0.1393493224218531,0.022576955264565747,0.02319514249422031,0.0025823106830092668,0.11132980466288227
M,"[0.30,0.50)",16,0.09544331982935211,0.36018787500000005,-0.26474455517064793,0.07224140195838252,0.07503551683473143,0.004112198101858753,0.05480335546853133
