gender,bin,n,mean_pred,mean_gt,bias,mse,weighted_err,err_contrib,w_mass_frac
F,"[0.00,0.05)",142,0.055531013273856435,0.02321862676056338,0.03231238651329306,0.0021370856795592673,0.0018864116411217886,0.00012502400335337563,0.06627609829582469
F,"[0.05,0.10)",172,0.053873388782157965,0.0758656976744186,-0.021992308892260636,0.0008748221580094474,0.0009538638025999394,0.0001478613022268856,0.15501301320362632
F,"[0.10,0.15)",156,0.05705325569836693,0.12378988461538462,-0.06673662891701769,0.004913854489676646,0.005070670424521137,0.001025773024930767,0.20229534539856014
F,"[0.15,0.20)",96,0.0600891300309436,0.17173326041666667,-0.11164413038572307,0.013608522728611024,0.0137941813412792,0.0022412123581307987,0.162475198975669
F,"[0.20,0.30)",108,0.06608471706231617,0.24083294444444442,-0.17474822738212825,0.03143387497570183,0.032413954426633064,0.007921195559751217,0.24437609356428083
F,"[0.30,0.50)",53,0.07115723856193767,0.3543146226415095,-0.2831573840795718,0.0814029895495629,0.08313347645953476,0.014096465632477921,0.16956425056203897
M,"[0.00,0.05)",828,0.05965900771045622,0.018468322463768116,0.041190685246688105,0.00262321075251667,0.0023343588249734276,0.0008714864060891347,0.3733300967982311
M,"[0.05,0.10)",199,0.06594142103460632,0.0708087688442211,-0.004867347809614786,0.0017071562288265036,0.0016580335761031955,0.0002990830230049955,0.1803841775676928
M,"[0.10,0.15)",111,0.06757622324642672,0.12103036036036036,-0.05345413711393364,0.0037494298165753463,0.0038947127562480453,0.0005808481334949787,0.1491376052221464
M,"[0.15,0.20)",73,0.06966567214957801,0.1728620821917808,-0.1031964100422028,0.011694558839518816,0.01190160963537877,0.0015592889136533568,0.13101496028051607
M,"[0.20,0.30)",46,0.07024988650137326,0.24472415217391302,-0.17447426567253976,0.03228027350587452,0.03313424276682568,0.0036888287748832226,0.11132980466288227
M,"[0.30,0.50)",16,0.06362887988623474,0.36018787500000005,-0.2965589951137653,0.08997033858439721,0.09308929564384001,0.005101605759484569,0.05480335546853133
